一	いち	/(num) one/(P)/	ichi
円	えん	/(gn) (1) Yen, money/(2) circle/	en
円い	まるい	/(adj) round/circular/spherical/(P)/	marui
再来年	さらいねん	/(n-adv,n-t) year after next/(P)/	sarainen
写真	しゃしん	/(n) photograph/(P)/	shashin
冬	ふゆ	/(n-adv,n-t) winter/(P)/	fuyu
冷たい	つめたい	/(adj) cold (to the touch)/chilly/icy/freezing/coldhearted/(P)/	tsumetai
冷蔵庫	れいぞうこ	/(n) refrigerator/(P)/	reizouko
出かける	でかける	/(v1) to depart/to go out (e.g. on an excursion or outing)/to set out/to start/to be going out/	dekakeru
出す	だす	/(v5s) to put out/to send/(P)/	dasu
出る	でる	/(v1) to appear/to come forth/to leave/(P)/	deru
出口	でぐち	/(n) exit/gateway/way out/outlet/leak/vent/(P)/	deguchi
分る	わかる	/(io) (v5r) to be understood/	wakaru
切る	きる	/(suf,v5r) to cut/to chop/	kiru
切手	きって	/(n) stamp (eg. postage)/	kitte
切符	きっぷ	/(n) ticket/(P)/	kippu
初めて	はじめて	/(adv,n) for the first time/(P)/	hajimete
初めに	はじめに	/(expr) to begin with/first of all/	hajimeni
前	まえ	/(n-adv,n-t,suf) (1) before/in front/fore part/ago/previously/(2) head (of a line)/(3) in the presence of/lady (so-and-so)/(4) (five minutes) to/(5) helping/portion/(P)/	mae
勉強	べんきょう	/(n,vs) study/diligence/discount/reduction/(P)/	benkyou
動物	どうぶつ	/(n) animal/(P)/	doubutsu
勤める	つとめる	/(v1) (1) to serve/to fill a post/to serve under/to work (for)/(2) to exert oneself/to endeavor/to be diligent/(3) to play (the part of)/(P)/	tsutomeru
北	きた	/north/	kita
医者	いしゃ	/(n) doctor (medical)/(P)/	isha
十	じゅう	/(num) 10/ten/(P)/	jiyuu
十	とお	/(num) 10/ten/(P)/	too
十日	とおか	/ten days/the tenth (day of the month)/(P)/	tooka
千	せん	/thousand/many/(P)/	sen
午前	ごぜん	/(n-adv,n-t) morning/A.M./am/(P)/	gozen
午後	ごご	/(n-adv,n-t) afternoon/p.m./pm/(P)/	gogo
半	はん	/(n-adv,n,n-suf) half/(P)/	han
半分	はんぶん	/half minute/	hanbun
南	みなみ	/(n,vs) South/proceeding south/(P)/	minami
危ない	あぶない	/(adj) dangerous/critical/grave/uncertain/unreliable/limping/narrow/close/watch out!/(P)/	abunai
卵	たまご	/(n) (1) egg(s)/spawn/roe/(2) (an expert) in the making/(P)/	tamago
厚い	あつい	/(adj) cordial/kind/warm(hearted)/thick/deep/(P)/	atsui
去年	きょねん	/(n-adv,n-t) last year/	kyonen
友達	ともだち	/(n) friend/(P)/	tomodachi
叔母	おば	/(n) aunt (younger than one's parent)/(P)/	oba
叔父	おじ	/(n) uncle (younger than one's parent)/(P)/	oji
取る	とる	/(v5r) to take/to pick up/to harvest/to earn/to choose/(P)/	toru
口	くち	/(n) mouth/orifice/opening/(P)/	kuchi
古い	ふるい	/(adj) old (not person)/aged/ancient/antiquated/stale/threadbare/outmoded/obsolete article/(P)/	furui
台所	だいどころ	/(n) kitchen/(P)/	daidokoro
右	みぎ	/(n) right hand side/(P)/	migi
同じ	おなじ	/(adj-na,n) same/identical/equal/uniform/equivalent/similar/common (origin)/changeless/(P)/	onaji
名前	なまえ	/(n) name/(P)/	namae
向こう	むこう	/(n) beyond/over there/opposite direction/the other party/(P)/	mukou
吸う	すう	/(v5u) to smoke/to breathe in/to suck/(P)/	suu
吹く	ふく	/(v5k) (1) to blow (wind, etc)/(2) to emit/to spout/(P)/	fuku
呼ぶ	よぶ	/(v5b) to call out/to invite/(P)/	yobu
咲く	さく	/(v5k) to bloom/(P)/	saku
問題	もんだい	/(n) problem/question/(P)/	mondai
喫茶店	きっさてん	/(n) coffee lounge/(P)/	kitsusaten
四	し	/(num) four/(P)/	shi
四つ	よっつ	/(n) four/(P)/	yottsu
四日	よっか	/(n) (1) 4th day of month/(2) four days/(P)/	yokka
困る	こまる	/(v5r) to be worried/to be bothered/(P)/	komaru
図書館	としょかん	/(n) library/(P)/	toshokan
国	くに	/(n) country/(P)/	kuni
土曜日	どようび	/(n-adv,n) Saturday/(P)/	doyoubi
地下鉄	ちかてつ	/(n) underground train/subway/(P)/	chikatetsu
地図	ちず	/(n) map/(P)/	chizu
塩	しお	/(n) salt/(P)/	shio
声	こえ	/(n) voice/(P)/	koe
売る	うる	/(v5r) to sell/(P)/	uru
夏	なつ	/(n-adv,n-t) summer/(P)/	natsu
夏休み	なつやすみ	/(n) summer vacation/summer holiday/(P)/	natsuyasumi
夕方	ゆうがた	/(n-adv,n-t) evening/(P)/	yuugata
外	そと	/(n) outside, exterior/(P)/	soto
外	ほか	/(n) other place/the rest/(P)/	hoka
外国	がいこく	/(n) foreign country/(P)/	gaikoku
外国人	がいこくじん	/(n) foreigner/(P)/	gaikokujin
夜	よる	/(n-adv,n-t) evening/night/(P)/	yoru
大きい	おおきい	/(adj) big/large/great/(P)/	ookii
大丈夫	だいじょうぶ	/(adj-na,adv,n) safe/all right/O.K./(P)/	daijiyoubu
大人	おとな	/(n) adult/	otona
大使館	たいしかん	/(n) embassy/(P)/	taishikan
大切	たいせつ	/(adj-na,n) important/(P)/	taisetsu
大勢	おおぜい	/(n) great number of people/	oozei
大好き	だいすき	/(adj-na,n) very likeable/like very much/(P)/	daisuki
大学	だいがく	/(n) university/(P)/	daigaku
天気	てんき	/(n) weather/the elements/fine weather/(P)/	tenki
太い	ふとい	/(adj) fat/thick/(P)/	futoi
奥さん	おくさん	/(n) (hon) wife/your wife/his wife/married lady/madam/(P)/	okusan
女	おんな	/(n) woman/girl/daughter/	onna
女の子	おんなのこ	/(n) girl/(P)/	onnanoko
好き	すき	/(adj-na,n) liking/fondness/love/(P)/	suki
妹	いもうと	/(n) (hum) younger sister/(P)/	imouto
姉	あね	/(n) (hum) older sister/(P)/	ane
始まる	はじまる	/(v5r,vi) to begin/(P)/	hajimaru
嫌	いや	/(adj-na,n) disagreeable/detestable/unpleasant/reluctant/(P)/	iya
嫌い	きらい	/(adj-na,n) dislike/hate/(P)/	kirai
子供	こども	/(n) child/children/(P)/	kodomo
字引	じびき	/(n) dictionary/(P)/	jibiki
学校	がっこう	/(n) school/(P)/	gakkou
学生	がくせい	/(n) student/(P)/	gakusei
安い	やすい	/(adj) cheap/inexpensive/peaceful/quiet/gossipy/thoughtless/(P)/	yasui
家	いえ	/(suf) house/family/(P)/	ie
家内	かない	/(n) (hum) wife/(P)/	kanai
家族	かぞく	/(n) family/members of a family/(P)/	kazoku
宿題	しゅくだい	/(n) homework/(P)/	shukudai
寒い	さむい	/(adj) cold (e.g. weather)/(P)/	samui
寝る	ねる	/(v1) to go to bed/to lie down/to sleep/(P)/	neru
封筒	ふうとう	/(n) envelope/(P)/	fuutou
小さい	ちいさい	/(adj) small/little/tiny/(P)/	chiisai
少し	すこし	/(adv,n) (1) small quantity/little/few/something/(2) little while/(3) short distance/(P)/	sukoshi
居る	いる	/(v5r) (uk) (hum) to be (animate)/to be/to exist/(P)/	iru
山	やま	/(n) (1) mountain/(2) pile/heap/(3) climax/critical point/(P)/	yama
川	かわ	/(n) river/(P)/	kawa
工	く		ku
左	ひだり	/(n) left hand side/(P)/	hidari
帰る	かえる	/(v5r) to go back/to go home/to come home/to return/(P)/	kaeru
帽子	ぼうし	/(n) hat/(P)/	boushi
平仮名	ひらがな	/(n) hiragana/47 syllables/the cursive syllabary/(P)/	hiragana
広い	ひろい	/(adj) spacious/vast/wide/(P)/	hiroi
店	みせ	/(n,n-suf) store/shop/establishment/(P)/	mise
座る	すわる	/(v5r) to sit/(P)/	suwaru
庭	にわ	/(n) garden/(P)/	niwa
建物	たてもの	/(n) building/(P)/	tatemono
引く	ひく	/(v5k) minus/to pull/to play (string instr.)/(P)/	hiku
弟	おとうと	/(n) younger brother/faithful service to those older/brotherly affection/	otouto
強い	つよい	/(adj) strong/powerful/mighty/potent/(P)/	tsuyoi
弾く	ひく	/(v5k) to play (piano, guitar)/(P)/	hiku
待つ	まつ	/(v5t) to wait/(P)/	matsu
後	あと	/(adj-no,n) afterwards/since then/in the future/(P)/	ato
後	うしろ	/(gn) back/behind/rear/	ushiro
御主人	ごしゅじん	/(n) (hon) your husband/her husband/	goshujin
御飯	ごはん	/(n) rice (cooked)/meal/(P)/	gohan
忘れる	わすれる	/(v1) to forget/to leave carelessly/to be forgetful of/to forget about/to forget (an article)/(P)/	wasureru
忙しい	いそがしい	/(adj) busy/irritated/	isogashii
悪い	わるい	/(adj) bad/inferior/(P)/	warui
意味	いみ	/(n,vs) meaning/significance/(P)/	imi
戸	と	/(n) door (Japanese style)/(P)/	to
所	ところ	/(n) place/(P)/	tokoro
手	て	/(n) hand/(P)/	te
手紙	てがみ	/(n) letter/(P)/	tegami
押す	おす	/(v5s,vt) to push/to press/to stamp (i.e. a passport)/(P)/	osu
持つ	もつ	/(v5t) (1) to hold/to carry/(2) to possess/(P)/	motsu
掃除	そうじ	/(n,vs) cleaning/sweeping/(P)/	souji
授業	じゅぎょう	/(n,vs) lesson/class work/(P)/	jiyugyou
撮る	とる	/(v5r) to take (a photo)/to make (a film)/(P)/	toru
教える	おしえる	/(v1) to teach/to inform/to instruct/(P)/	oshieru
教室	きょうしつ	/(n) classroom/(P)/	kyoushitsu
散歩	さんぽ	/(n,vs) walk/stroll/(P)/	sanpo
料理	りょうり	/(n,vs) cooking/cookery/cuisine/(P)/	ryouri
新しい	あたらしい	/(adj) new/(P)/	atarashii
新聞	しんぶん	/(n) newspaper/(P)/	shinbun
旅行	りょこう	/(n,vs) travel/trip/(P)/	ryokou
日曜日	にちようび	/(n-adv,n) Sunday/(P)/	nichiyoubi
早い	はやい	/(adj) early/(P)/	hayai
明い	あかるい	/(adj) bright/cheerful/	akarui
易しい	やさしい	/(adj) easy/plain/simple/(P)/	yasashii
映画	えいが	/(n) movie/film/(P)/	eiga
映画館	えいがかん	/(n) movie theatre (theater)/cinema/(P)/	eigakan
春	はる	/(n-adv,n-t) spring/(P)/	haru
昨日	きのう	/(n-adv,n-t) yesterday/(P)/	kinou
昼	ひる	/(n-adv,n-t) noon/daytime/(P)/	hiru
昼御飯	ひるごはん	/(n) lunch/midday meal/	hirugohan
時々	ときどき	/(adv,n) sometimes/(P)/	tokidoki
時計	とけい	/(n) watch/clock/(P)/	tokei
時間	じかん	/(n-adv,n) time/(P)/	jikan
晩	ばん	/(n-adv,n-t) evening/(P)/	ban
晩御飯	ばんごはん	/(n) dinner/evening meal/	bangohan
晴れる	はれる	/(v1) to be sunny/to clear away/to stop raining/(P)/	hareru
暇	ひま	/(adj-na,n) (1) free time/leisure/leave/spare time/(2) farewell/	hima
暑い	あつい	/(adj) hot/warm/(P)/	atsui
暖かい	あたたかい	/(adj) warm/mild/genial/(P)/	atatakai
暗い	くらい	/(adj) (uk) dark/gloomy/(P)/	kurai
曇る	くもる	/(v5r) to become cloudy/to become dim/(P)/	kumoru
曲る	まがる	/(uv) to turn/to bend/	magaru
書く	かく	/(v5k) to write/(P)/	kaku
月曜日	げつようび	/(n-adv,n) Monday/(P)/	getsuyoubi
有名	ゆうめい	/(adj-na,n) fame/(P)/	yuumei
服	ふく	/(n,n-suf) clothes/(P)/	fuku
朝	あさ	/(n-adv,n-t) morning/(P)/	asa
朝御飯	あさごはん	/(n) breakfast/(P)/	asagohan
木	き	/(n) tree/wood/timber/(P)/	ki
木曜日	もくようび	/(n-adv,n) Thursday/(P)/	mokuyoubi
本	ほん	/(n) book/	hon
本棚	ほんだな	/(n) bookshelves/(P)/	hondana
机	つくえ	/(n) desk/(P)/	tsukue
来る	くる	/(vk) to come/	kuru
来年	らいねん	/(n-adv,n-t) next year/(P)/	rainen
来月	らいげつ	/(n-adv,n-t) next month/(P)/	raigetsu
来週	らいしゅう	/(n-adv,n-t) next week/(P)/	raishuu
東	ひがし	/(n) east/(P)/	higashi
果物	くだもの	/(n) fruit/(P)/	kudamono
楽しい	たのしい	/(adj) enjoyable/fun/(P)/	tanoshii
横	よこ	/(n) beside/side/width/(P)/	yoko
橋	はし	/(n) bridge/(P)/	hashi
次	つぎ	/(n) next/stage station/stage/subsequent/(P)/	tsugi
欲しい	ほしい	/(adj) wanted/wished for/in need of/desired/(P)/	hoshii
歌	うた	/(n) song/poetry/(P)/	uta
歌う	うたう	/(v5u) to sing/(P)/	utau
止まる	とまる	/(v5r) to come to a halt/(P)/	tomaru
歩く	あるく	/(v5k) to walk/(P)/	aruku
歯	は	/(n) tooth/(P)/	ha
死ぬ	しぬ	/(v5n) to die/(P)/	shinu
母	はは	/(n) (hum) mother/(P)/	haha
毎年	まいとし	/(n-t) every year/yearly/annually/(P)/	maitoshi
毎年	まいねん	/(n-t) every year/yearly/annually/(P)/	mainen
毎日	まいにち	/(n-adv,n-t) every day/(P)/	mainichi
毎晩	まいばん	/(n-adv,n-t) every night/(P)/	maiban
毎月	まいげつ	/(n-adv,n) every month/each month/monthly/(P)/	maigetsu
毎月	まいつき	/(n-adv,n) every month/each month/monthly/(P)/	maitsuki
毎朝	まいあさ	/(n-adv,n-t) every morning/	maiasa
毎週	まいしゅう	/(n-adv,n-t) every week/(P)/	maishuu
水	みず	/(n) water/(P)/	mizu
水曜日	すいようび	/(n-adv,n) Wednesday/(P)/	suiyoubi
汚い	きたない	/(adj) dirty/unclean/filthy/(P)/	kitanai
池	いけ	/(n) pond/(P)/	ike
河	かわ	/(n) river/stream/(P)/	kawa
泳ぐ	およぐ	/(v5g) to swim/(P)/	oyogu
洋服	ようふく	/(n) Western-style clothes/(P)/	youfuku
洗う	あらう	/(v5u) to wash/(P)/	arau
洗濯	せんたく	/(n,vs) washing/laundry/(P)/	sentaku
海	うみ	/(n) sea/beach/(P)/	umi
